Frame,Predicted Offset,Forward Speed,Turn Speed,
1,-0.082637608,0.04,0.041318804025650024,[0.04      0.0413188]
2,-0.082637608,0.04,0.041318804025650024,[0.04      0.0413189]
3,-0.0892905,0.04,0.041318804025650024,[0.04      0.0413190]
4,-0.092755079,0.04,0.041318804025650024,[0.04      0.0413191]
5,-0.092755079,0.04,0.041318804025650024,[0.04      0.0413192]
6,-0.097205251,0.04,0.041318804025650024,[0.04      0.0413193]
7,-0.098379254,0.04,0.041318804025650024,[0.04      0.0413194]
8,-0.100304782,0.04,0.041318804025650024,[0.04      0.0413195]
9,-0.101727784,0.04,0.041318804025650024,[0.04      0.0413196]
10,-0.102664053,0.04,0.041318804025650024,[0.04      0.0413197]
11,-0.115658224,0.04,0.041318804025650024,[0.04      0.0413198]
12,-0.120266855,0.04,0.041318804025650024,[0.04      0.0413199]
13,-0.126658916,0.04,0.041318804025650024,[0.04      0.0413200]
14,-0.128136933,0.04,0.041318804025650024,[0.04      0.0413201]
15,-0.128136933,0.04,0.041318804025650024,[0.04      0.0413202]
16,-0.128136933,0.04,0.041318804025650024,[0.04      0.0413203]
17,-0.133460283,0.04,0.041318804025650024,[0.04      0.0413204]
18,-0.137496263,0.04,0.041318804025650024,[0.04      0.0413205]
19,-0.137496263,0.04,0.041318804025650024,[0.04      0.0413206]
20,-0.147820771,0.04,0.041318804025650024,[0.04      0.0413207]
21,-0.147820771,0.04,0.041318804025650024,[0.04      0.0413208]
22,-0.154514432,0.04,0.041318804025650024,[0.04      0.0413209]
23,-0.156816095,0.04,0.041318804025650024,[0.04      0.0413210]
24,-0.156816095,0.04,0.041318804025650024,[0.04      0.0413211]
25,-0.161670357,0.04,0.041318804025650024,[0.04      0.0413212]
26,-0.166745603,0.04,0.041318804025650024,[0.04      0.0413213]
27,-0.166745603,0.04,0.041318804025650024,[0.04      0.0413214]
28,-0.171331346,0.04,0.041318804025650024,[0.04      0.0413215]
29,-0.171331346,0.04,0.041318804025650024,[0.04      0.0413216]
30,-0.180368602,0.04,0.041318804025650024,[0.04      0.0413217]
31,-0.186279178,0.04,0.041318804025650024,[0.04      0.0413218]
32,-0.188786834,0.04,0.041318804025650024,[0.04      0.0413219]
33,-0.19282192,0.04,0.041318804025650024,[0.04      0.0413220]
34,-0.19282192,0.04,0.041318804025650024,[0.04      0.0413221]
35,-0.202892095,0.04,0.041318804025650024,[0.04      0.0413222]
36,-0.208766997,0.04,0.041318804025650024,[0.04      0.0413223]
37,-0.208766997,0.04,0.041318804025650024,[0.04      0.0413224]
38,-0.216485202,0.04,0.041318804025650024,[0.04      0.0413225]
39,-0.221222311,0.04,0.041318804025650024,[0.04      0.0413226]
40,-0.222862303,0.04,0.041318804025650024,[0.04      0.0413227]
41,-0.227670848,0.04,0.041318804025650024,[0.04      0.0413228]
42,-0.227670848,0.04,0.041318804025650024,[0.04      0.0413229]
43,-0.233996391,0.04,0.041318804025650024,[0.04      0.0413230]
44,-0.235200942,0.04,0.041318804025650024,[0.04      0.0413231]
45,-0.235200942,0.04,0.041318804025650024,[0.04      0.0413232]
46,-0.235200942,0.04,0.041318804025650024,[0.04      0.0413233]
47,-0.242408335,0.04,0.041318804025650024,[0.04      0.0413234]
48,-0.249548435,0.04,0.041318804025650024,[0.04      0.0413235]
49,-0.256055593,0.04,0.041318804025650024,[0.04      0.0413236]
50,-0.265497208,0.04,0.041318804025650024,[0.04      0.0413237]
51,-0.269304633,0.04,0.041318804025650024,[0.04      0.0413238]
52,-0.273916006,0.04,0.041318804025650024,[0.04      0.0413239]
53,-0.276503444,0.04,0.041318804025650024,[0.04      0.0413240]
54,-0.276503444,0.04,0.041318804025650024,[0.04      0.0413241]
55,-0.276503444,0.04,0.041318804025650024,[0.04      0.0413242]
56,-0.287975609,0.04,0.041318804025650024,[0.04      0.0413243]
57,-0.299118102,0.04,0.041318804025650024,[0.04      0.0413244]
58,-0.305362523,0.04,0.041318804025650024,[0.04      0.0413245]
59,-0.312542081,0.04,0.041318804025650024,[0.04      0.0413246]
60,-0.312542081,0.04,0.041318804025650024,[0.04      0.0413247]
61,-0.325059175,0.04,0.041318804025650024,[0.04      0.0413248]
62,-0.331496119,0.04,0.041318804025650024,[0.04      0.0413249]
63,-0.336753845,0.04,0.041318804025650024,[0.04      0.0413250]
64,-0.336753845,0.04,0.041318804025650024,[0.04      0.0413251]
65,-0.347525656,0.04,0.041318804025650024,[0.04      0.0413252]
66,-0.353320241,0.04,0.041318804025650024,[0.04      0.0413253]
67,-0.353320241,0.04,0.041318804025650024,[0.04      0.0413254]
68,-0.364797413,0.04,0.041318804025650024,[0.04      0.0413255]
69,-0.371017873,0.04,0.041318804025650024,[0.04      0.0413256]
70,-0.371017873,0.04,0.041318804025650024,[0.04      0.0413257]
71,-0.379312634,0.04,0.041318804025650024,[0.04      0.0413258]
72,-0.384263098,0.04,0.041318804025650024,[0.04      0.0413259]
73,-0.384263098,0.04,0.041318804025650024,[0.04      0.0413260]
74,-0.394708991,0.04,0.041318804025650024,[0.04      0.0413261]
75,-0.399957478,0.04,0.041318804025650024,[0.04      0.0413262]
76,-0.399957478,0.04,0.041318804025650024,[0.04      0.0413263]
77,-0.410879433,0.04,0.041318804025650024,[0.04      0.0413264]
78,-0.416583061,0.04,0.041318804025650024,[0.04      0.0413265]
79,-0.422225952,0.04,0.041318804025650024,[0.04      0.0413266]
80,-0.422225952,0.04,0.041318804025650024,[0.04      0.0413267]
81,-0.435040891,0.04,0.041318804025650024,[0.04      0.0413268]
82,-0.435040891,0.04,0.041318804025650024,[0.04      0.0413269]
83,-0.44873482,0.04,0.041318804025650024,[0.04      0.0413270]
84,-0.456331551,0.04,0.041318804025650024,[0.04      0.0413271]
85,-0.465225637,0.04,0.041318804025650024,[0.04      0.0413272]
86,-0.465225637,0.04,0.041318804025650024,[0.04      0.0413273]
87,-0.481489003,0.04,0.041318804025650024,[0.04      0.0413274]
88,-0.491134584,0.04,0.041318804025650024,[0.04      0.0413275]
89,-0.491134584,0.04,0.041318804025650024,[0.04      0.0413276]
90,-0.511845767,0.04,0.041318804025650024,[0.04      0.0413277]
91,-0.531115651,0.04,0.041318804025650024,[0.04      0.0413278]
92,-0.531115651,0.04,0.041318804025650024,[0.04      0.0413279]
93,-0.531115651,0.04,0.041318804025650024,[0.04      0.0413280]
94,-0.545429587,0.04,0.041318804025650024,[0.04      0.0413281]
95,-0.548922718,0.04,0.041318804025650024,[0.04      0.0413282]
96,-0.551423728,0.04,0.041318804025650024,[0.04      0.0413283]
97,-0.551423728,0.04,0.041318804025650024,[0.04      0.0413284]
98,-0.548193753,0.04,0.041318804025650024,[0.04      0.0413285]
99,-0.5455212,0.04,0.041318804025650024,[0.04      0.0413286]
100,-0.5455212,0.04,0.041318804025650024,[0.04      0.0413287]
101,-0.533928335,0.04,0.041318804025650024,[0.04      0.0413288]
102,-0.533928335,0.04,0.041318804025650024,[0.04      0.0413289]
103,-0.518627524,0.04,0.041318804025650024,[0.04      0.0413290]
104,-0.514964461,0.04,0.041318804025650024,[0.04      0.0413291]
105,-0.514964461,0.04,0.041318804025650024,[0.04      0.0413292]
106,-0.510698855,0.04,0.041318804025650024,[0.04      0.0413293]
107,-0.509620011,0.04,0.041318804025650024,[0.04      0.0413294]
108,-0.509620011,0.04,0.041318804025650024,[0.04      0.0413295]
109,-0.505449891,0.04,0.041318804025650024,[0.04      0.0413296]
110,-0.50403744,0.04,0.041318804025650024,[0.04      0.0413297]
111,-0.50403744,0.04,0.041318804025650024,[0.04      0.0413298]
112,-0.501384199,0.04,0.041318804025650024,[0.04      0.0413299]
113,-0.500972807,0.04,0.041318804025650024,[0.04      0.0413300]
114,-0.500972807,0.04,0.041318804025650024,[0.04      0.0413301]
115,-0.499521136,0.04,0.041318804025650024,[0.04      0.0413302]
116,-0.499117672,0.04,0.041318804025650024,[0.04      0.0413303]
117,-0.499117672,0.04,0.041318804025650024,[0.04      0.0413304]
118,-0.497767985,0.04,0.041318804025650024,[0.04      0.0413305]
119,-0.497146606,0.04,0.041318804025650024,[0.04      0.0413306]
120,-0.496665955,0.04,0.041318804025650024,[0.04      0.0413307]
121,-0.495620012,0.04,0.041318804025650024,[0.04      0.0413308]
122,-0.495821834,0.04,0.041318804025650024,[0.04      0.0413309]
123,-0.495821834,0.04,0.041318804025650024,[0.04      0.0413310]
124,-0.495821834,0.04,0.041318804025650024,[0.04      0.0413311]
125,-0.495751441,0.04,0.041318804025650024,[0.04      0.0413312]
126,-0.495618165,0.04,0.041318804025650024,[0.04      0.0413313]
127,-0.497196257,0.04,0.041318804025650024,[0.04      0.0413314]
128,-0.497196257,0.04,0.041318804025650024,[0.04      0.0413315]
129,-0.497196257,0.04,0.041318804025650024,[0.04      0.0413316]
130,-0.49641782,0.04,0.041318804025650024,[0.04      0.0413317]
131,-0.496136844,0.04,0.041318804025650024,[0.04      0.0413318]
132,-0.497356415,0.04,0.041318804025650024,[0.04      0.0413319]
133,-0.497375309,0.04,0.041318804025650024,[0.04      0.0413320]
134,-0.497375309,0.04,0.041318804025650024,[0.04      0.0413321]
135,-0.496857524,0.04,0.041318804025650024,[0.04      0.0413322]
136,-0.49659276,0.04,0.041318804025650024,[0.04      0.0413323]
137,-0.49659276,0.04,0.041318804025650024,[0.04      0.0413324]
138,-0.496797621,0.04,0.041318804025650024,[0.04      0.0413325]
139,-0.496797621,0.04,0.041318804025650024,[0.04      0.0413326]
140,-0.496377945,0.04,0.041318804025650024,[0.04      0.0413327]
141,-0.496030748,0.04,0.041318804025650024,[0.04      0.0413328]
142,-0.49630338,0.04,0.041318804025650024,[0.04      0.0413329]
143,-0.49630338,0.04,0.041318804025650024,[0.04      0.0413330]
144,-0.495838642,0.04,0.041318804025650024,[0.04      0.0413331]
145,-0.495511949,0.04,0.041318804025650024,[0.04      0.0413332]
146,-0.495511949,0.04,0.041318804025650024,[0.04      0.0413333]
147,-0.494663298,0.04,0.041318804025650024,[0.04      0.0413334]
148,-0.494049013,0.04,0.041318804025650024,[0.04      0.0413335]
149,-0.494049013,0.04,0.041318804025650024,[0.04      0.0413336]
150,-0.492269397,0.04,0.041318804025650024,[0.04      0.0413337]
151,-0.492775261,0.04,0.041318804025650024,[0.04      0.0413338]
152,-0.492775261,0.04,0.041318804025650024,[0.04      0.0413339]
153,-0.48953706,0.04,0.041318804025650024,[0.04      0.0413340]
154,-0.489883482,0.04,0.041318804025650024,[0.04      0.0413341]
155,-0.489883482,0.04,0.041318804025650024,[0.04      0.0413342]
156,-0.487741947,0.04,0.041318804025650024,[0.04      0.0413343]
157,-0.487314701,0.04,0.041318804025650024,[0.04      0.0413344]
158,-0.487314701,0.04,0.041318804025650024,[0.04      0.0413345]
159,-0.485397458,0.04,0.041318804025650024,[0.04      0.0413346]
160,-0.484107673,0.04,0.041318804025650024,[0.04      0.0413347]
161,-0.482262075,0.04,0.041318804025650024,[0.04      0.0413348]
162,-0.482262075,0.04,0.041318804025650024,[0.04      0.0413349]
163,-0.480217874,0.04,0.041318804025650024,[0.04      0.0413350]
164,-0.479427278,0.04,0.041318804025650024,[0.04      0.0413351]
165,-0.47772342,0.04,0.041318804025650024,[0.04      0.0413352]
166,-0.47772342,0.04,0.041318804025650024,[0.04      0.0413353]
167,-0.476352751,0.04,0.041318804025650024,[0.04      0.0413354]
168,-0.475884616,0.04,0.041318804025650024,[0.04      0.0413355]
169,-0.474521756,0.04,0.041318804025650024,[0.04      0.0413356]
170,-0.474153519,0.04,0.041318804025650024,[0.04      0.0413357]
171,-0.474153519,0.04,0.041318804025650024,[0.04      0.0413358]
172,-0.472696245,0.04,0.041318804025650024,[0.04      0.0413359]
173,-0.472263813,0.04,0.041318804025650024,[0.04      0.0413360]
174,-0.472263813,0.04,0.041318804025650024,[0.04      0.0413361]
175,-0.47052592,0.04,0.041318804025650024,[0.04      0.0413362]
176,-0.470919549,0.04,0.041318804025650024,[0.04      0.0413363]
177,-0.470161498,0.04,0.041318804025650024,[0.04      0.0413364]
178,-0.469886541,0.04,0.041318804025650024,[0.04      0.0413365]
179,-0.469775796,0.04,0.041318804025650024,[0.04      0.0413366]
180,-0.469775796,0.04,0.041318804025650024,[0.04      0.0413367]
181,-0.470366657,0.04,0.041318804025650024,[0.04      0.0413368]
182,-0.470673501,0.04,0.041318804025650024,[0.04      0.0413369]
183,-0.470673501,0.04,0.041318804025650024,[0.04      0.0413370]
184,-0.471878767,0.04,0.041318804025650024,[0.04      0.0413371]
185,-0.472858071,0.04,0.041318804025650024,[0.04      0.0413372]
186,-0.474475265,0.04,0.041318804025650024,[0.04      0.0413373]
187,-0.474475265,0.04,0.041318804025650024,[0.04      0.0413374]
188,-0.476231635,0.04,0.041318804025650024,[0.04      0.0413375]
189,-0.477804422,0.04,0.041318804025650024,[0.04      0.0413376]
190,-0.478414595,0.04,0.041318804025650024,[0.04      0.0413377]
191,-0.480646193,0.04,0.041318804025650024,[0.04      0.0413378]
192,-0.480646193,0.04,0.041318804025650024,[0.04      0.0413379]
193,-0.483192146,0.04,0.041318804025650024,[0.04      0.0413380]
194,-0.485242426,0.04,0.041318804025650024,[0.04      0.0413381]
195,-0.485242426,0.04,0.041318804025650024,[0.04      0.0413382]
196,-0.489467144,0.04,0.041318804025650024,[0.04      0.0413383]
197,-0.49113673,0.04,0.041318804025650024,[0.04      0.0413384]
198,-0.49113673,0.04,0.041318804025650024,[0.04      0.0413385]
199,-0.496128201,0.04,0.041318804025650024,[0.04      0.0413386]
200,-0.496128201,0.04,0.041318804025650024,[0.04      0.0413387]
201,-0.498695374,0.04,0.041318804025650024,[0.04      0.0413388]
202,-0.505031765,0.04,0.041318804025650024,[0.04      0.0413389]
203,-0.508791745,0.04,0.041318804025650024,[0.04      0.0413390]
204,-0.512139022,0.04,0.041318804025650024,[0.04      0.0413391]
205,-0.512139022,0.04,0.041318804025650024,[0.04      0.0413392]
206,-0.520628691,0.04,0.041318804025650024,[0.04      0.0413393]
207,-0.520628691,0.04,0.041318804025650024,[0.04      0.0413394]
208,-0.528149128,0.04,0.041318804025650024,[0.04      0.0413395]
209,-0.532243967,0.04,0.041318804025650024,[0.04      0.0413396]
210,-0.532243967,0.04,0.041318804025650024,[0.04      0.0413397]
211,-0.540408611,0.04,0.041318804025650024,[0.04      0.0413398]
212,-0.544754088,0.04,0.041318804025650024,[0.04      0.0413399]
213,-0.544754088,0.04,0.041318804025650024,[0.04      0.0413400]
214,-0.55273515,0.04,0.041318804025650024,[0.04      0.0413401]
215,-0.556097686,0.04,0.041318804025650024,[0.04      0.0413402]
216,-0.556097686,0.04,0.041318804025650024,[0.04      0.0413403]
217,-0.562801421,0.04,0.041318804025650024,[0.04      0.0413404]
218,-0.566524744,0.04,0.041318804025650024,[0.04      0.0413405]
219,-0.566524744,0.04,0.041318804025650024,[0.04      0.0413406]
220,-0.571230412,0.04,0.041318804025650024,[0.04      0.0413407]
221,-0.573537469,0.04,0.041318804025650024,[0.04      0.0413408]
222,-0.573537469,0.04,0.041318804025650024,[0.04      0.0413409]
223,-0.577827811,0.04,0.041318804025650024,[0.04      0.0413410]
224,-0.577754676,0.04,0.041318804025650024,[0.04      0.0413411]
225,-0.577233911,0.04,0.041318804025650024,[0.04      0.0413412]
226,-0.577233911,0.04,0.041318804025650024,[0.04      0.0413413]
227,-0.571949482,0.04,0.041318804025650024,[0.04      0.0413414]
228,-0.569403172,0.04,0.041318804025650024,[0.04      0.0413415]
229,-0.566780984,0.04,0.041318804025650024,[0.04      0.0413416]
230,-0.566780984,0.04,0.041318804025650024,[0.04      0.0413417]
231,-0.558575451,0.04,0.041318804025650024,[0.04      0.0413418]
232,-0.555002272,0.04,0.041318804025650024,[0.04      0.0413419]
233,-0.552326381,0.04,0.041318804025650024,[0.04      0.0413420]
234,-0.552326381,0.04,0.041318804025650024,[0.04      0.0413421]
235,-0.533927262,0.04,0.041318804025650024,[0.04      0.0413422]
236,-0.530084908,0.04,0.041318804025650024,[0.04      0.0413423]
237,-0.530084908,0.04,0.041318804025650024,[0.04      0.0413424]
238,-0.514013231,0.04,0.041318804025650024,[0.04      0.0413425]
239,-0.500566661,0.04,0.041318804025650024,[0.04      0.0413426]
240,-0.500566661,0.04,0.041318804025650024,[0.04      0.0413427]
241,-0.489334166,0.04,0.041318804025650024,[0.04      0.0413428]
242,-0.486695647,0.04,0.041318804025650024,[0.04      0.0413429]
243,-0.486695647,0.04,0.041318804025650024,[0.04      0.0413430]
244,-0.473381877,0.04,0.041318804025650024,[0.04      0.0413431]
245,-0.465552688,0.04,0.041318804025650024,[0.04      0.0413432]
246,-0.459657967,0.04,0.041318804025650024,[0.04      0.0413433]
247,-0.459657967,0.04,0.041318804025650024,[0.04      0.0413434]
248,-0.451089561,0.04,0.041318804025650024,[0.04      0.0413435]
249,-0.446744561,0.04,0.041318804025650024,[0.04      0.0413436]
250,-0.446744561,0.04,0.041318804025650024,[0.04      0.0413437]
251,-0.437376618,0.04,0.041318804025650024,[0.04      0.0413438]
252,-0.434026182,0.04,0.041318804025650024,[0.04      0.0413439]
253,-0.428028762,0.04,0.041318804025650024,[0.04      0.0413440]
254,-0.42151618,0.04,0.041318804025650024,[0.04      0.0413441]
255,-0.42151618,0.04,0.041318804025650024,[0.04      0.0413442]
256,-0.413741708,0.04,0.041318804025650024,[0.04      0.0413443]
257,-0.409047842,0.04,0.041318804025650024,[0.04      0.0413444]
258,-0.409047842,0.04,0.041318804025650024,[0.04      0.0413445]
259,-0.398547471,0.04,0.041318804025650024,[0.04      0.0413446]
260,-0.395359278,0.04,0.041318804025650024,[0.04      0.0413447]
261,-0.391198814,0.04,0.041318804025650024,[0.04      0.0413448]
262,-0.391198814,0.04,0.041318804025650024,[0.04      0.0413449]
263,-0.381395161,0.04,0.041318804025650024,[0.04      0.0413450]
264,-0.377572119,0.04,0.041318804025650024,[0.04      0.0413451]
265,-0.373298883,0.04,0.041318804025650024,[0.04      0.0413452]
266,-0.373298883,0.04,0.041318804025650024,[0.04      0.0413453]
267,-0.358261645,0.04,0.041318804025650024,[0.04      0.0413454]
268,-0.358261645,0.04,0.041318804025650024,[0.04      0.0413455]
269,-0.35155195,0.04,0.041318804025650024,[0.04      0.0413456]
270,-0.346922636,0.04,0.041318804025650024,[0.04      0.0413457]
271,-0.346922636,0.04,0.041318804025650024,[0.04      0.0413458]
272,-0.337214291,0.04,0.041318804025650024,[0.04      0.0413459]
273,-0.332676113,0.04,0.041318804025650024,[0.04      0.0413460]
274,-0.329226613,0.04,0.041318804025650024,[0.04      0.0413461]
275,-0.329226613,0.04,0.041318804025650024,[0.04      0.0413462]
276,-0.316874564,0.04,0.041318804025650024,[0.04      0.0413463]
277,-0.311248839,0.04,0.041318804025650024,[0.04      0.0413464]
278,-0.311248839,0.04,0.041318804025650024,[0.04      0.0413465]
279,-0.304281831,0.04,0.041318804025650024,[0.04      0.0413466]
280,-0.298471272,0.04,0.041318804025650024,[0.04      0.0413467]
281,-0.292210221,0.04,0.041318804025650024,[0.04      0.0413468]
282,-0.292210221,0.04,0.041318804025650024,[0.04      0.0413469]
283,-0.284831882,0.04,0.041318804025650024,[0.04      0.0413470]
284,-0.279246449,0.04,0.041318804025650024,[0.04      0.0413471]
285,-0.279246449,0.04,0.041318804025650024,[0.04      0.0413472]
286,-0.267406046,0.04,0.041318804025650024,[0.04      0.0413473]
287,-0.26513499,0.04,0.041318804025650024,[0.04      0.0413474]
288,-0.26513499,0.04,0.041318804025650024,[0.04      0.0413475]
289,-0.255386531,0.04,0.041318804025650024,[0.04      0.0413476]
290,-0.250534892,0.04,0.041318804025650024,[0.04      0.0413477]
291,-0.250534892,0.04,0.041318804025650024,[0.04      0.0413478]
292,-0.241165936,0.04,0.041318804025650024,[0.04      0.0413479]
293,-0.233905613,0.04,0.041318804025650024,[0.04      0.0413480]
294,-0.233905613,0.04,0.041318804025650024,[0.04      0.0413481]
295,-0.226709187,0.04,0.041318804025650024,[0.04      0.0413482]
296,-0.222334832,0.04,0.041318804025650024,[0.04      0.0413483]
297,-0.216962039,0.04,0.041318804025650024,[0.04      0.0413484]
298,-0.212477863,0.04,0.041318804025650024,[0.04      0.0413485]
299,-0.212477863,0.04,0.041318804025650024,[0.04      0.0413486]
300,-0.199503183,0.04,0.041318804025650024,[0.04      0.0413487]
301,-0.191518217,0.04,0.041318804025650024,[0.04      0.0413488]
302,-0.185213953,0.04,0.041318804025650024,[0.04      0.0413489]
303,-0.180095583,0.04,0.041318804025650024,[0.04      0.0413490]
304,-0.180095583,0.04,0.041318804025650024,[0.04      0.0413491]
